model,split,num_users,catalog_size,target_catalog_availability,recall@10,recall@20,recall@50,recall@100,recall@100_given_available,ndcg@10,mrr@10,coverage@10,popularity_bias_ratio,p95_latency_ms
popularity,validation,19621,13923,0.9787472605881451,0.009887365577697,0.019876662759288,0.040976504765302006,0.080169206462463,0.08191001874609401,0.004518720445451,0.0029079225934630004,0.0014364720247070002,6.655094308667989,0.30869996408000505
popularity,test,19621,13923,0.963253656796289,0.0072371438764580005,0.017685133275572,0.032872942255746,0.06411497884919201,0.066560846560846,0.003673089380285,0.0025709617894010004,0.0014364720247070002,7.543508374260168,0.39719999767839903
itemcf,validation,19621,13923,0.9787472605881451,0.043626726466540006,0.070485704092553,0.12267468528617201,0.173283726619438,0.17704644865652902,0.021991904223868,0.015483815121957002,0.977662860015801,0.637145669594106,17.6163999713026
itemcf,test,19621,13923,0.963253656796289,0.035727027164772,0.05973191988175901,0.10753784210794501,0.156974669996432,0.162962962962962,0.018067912023746,0.01276893561563,0.972491560726854,0.7081731616827951,19.757000030949712
