model,split,num_users,catalog_size,target_catalog_availability,recall@10,recall@20,recall@50,recall@100,recall@100_given_available,ndcg@10,mrr@10,coverage@10,popularity_bias_ratio,p95_latency_ms
popularity,validation,198,266,0.9040404040404041,0.025252525252525002,0.050505050505050005,0.09090909090909001,0.17676767676767602,0.195530726256983,0.009636711835688,0.004986371653038,0.052631578947368,3.096759259259259,0.04475999157875701
popularity,test,198,266,0.7020202020202021,0.010101010101010001,0.020202020202020003,0.055555555555555004,0.12626262626262602,0.17985611510791302,0.0034137254219810003,0.0015151515151510002,0.052631578947368,4.342424242424242,0.035899982322007
itemcf,validation,198,266,0.9040404040404041,0.11111111111111101,0.18686868686868602,0.31313131313131304,0.46969696969696906,0.519553072625698,0.056802980171126005,0.041153599486932,0.9812030075187971,1.5299382716049381,0.681790011003613
itemcf,test,198,266,0.7020202020202021,0.09595959595959501,0.13131313131313102,0.24242424242424201,0.358585858585858,0.5107913669064741,0.047722423568889005,0.033106862273528,0.9699248120300751,2.063203463203463,0.9388399892486631
